id, folder, :math:`N_{r}`, :math:`N_{\theta}`, :math:`Np_{column}`, :math:`Np_{row}`, :math:`r_i / r_o`, :math:`r_o - r_i`, Chebyshev grid, rotation, magnetism, viscous heating, Ohmic heating, :math:`E`, :math:`Pr`, :math:`Pm`, :math:`Ra`, :math:`Ram`, Non slip boundary, Fixed :math:`T` at :math:`r_i`, :math:`T(r_i)`, Fixed :math:`\frac{dT}{dr}` at :math:`r_i`, :math:`\frac{dT}{dr}|_{r=r_i}`, Fixed :math:`T` at :math:`r_o`, :math:`T(r_o)`, Fixed :math:`\frac{dT}{dr}` at :math:`r_o`, :math:`\frac{dT}{dr}|_{r=r_o}`, Reference type, Heating type, :math:`n_{p}`, :math:`n_{\rho}`, :math:`n_{g}`, Hyper-diffusion, :math:`\alpha`, :math:`\beta`, 
  22,      256,     1024,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      3.500000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      3.000000000000E+00,      3.000000000000E+00, 
  23,      256,     1024,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      1.000000000000E-05,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      6.000000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      7.000000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      4.500000000000E+01,      3.000000000000E+00, 
  24,      256,     1024,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-05,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      7.000000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      5.500000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.500000000000E+01,      3.000000000000E+00, 
  25,      256,     1024,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.100000000000E+02,      3.000000000000E+00, 
  26,      256,     1536,      256,      512,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.200000000000E+02,      3.000000000000E+00, 
  27,      256,     1536,      256,      512,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      1.200000000000E+02,      3.000000000000E+00, 
  28,      384,     1536,      128,      512,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      9.000000000000E+01,      3.000000000000E+00, 
  29,      384,     1536,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      9.000000000000E+01,      3.000000000000E+00, 
  30,      384,     1536,      384,      340,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      9.000000000000E+01,      3.000000000000E+00, 
  31,      384,     1536,      128,      256,      9.000000000000E-01,      1.000000000000E+00, .TRUE., .TRUE., .FALSE., .TRUE., .TRUE.,      3.000000000000E-06,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      4.800000000000E-02, .FALSE., .DEFAULT.,     -1.000000015047E+30, .TRUE.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .TRUE.,      8.581000000000E+01,        4,        4,      2.000000000000E+00,      5.000000000000E+00,     -1.000000015047E+30, .TRUE.,      9.000000000000E+01,      3.000000000000E+00, 
